,Point ID,,X,Y,Z
GRID,100323,,2.75277E-01,4.76794E-01,4.51986E-01
GRID,100324,,2.78472E-01,4.82327E-01,4.51986E-01
GRID,100325,,2.81666E-01,4.87860E-01,4.51986E-01
GRID,100326,,2.83999E-01,4.91902E-01,4.51986E-01
GRID,100327,,2.88055E-01,4.98926E-01,4.51986E-01
GRID,100328,,2.91249E-01,5.04459E-01,4.51986E-01
GRID,100329,,3.94898E-01,3.55568E-01,4.51986E-01
GRID,100330,,4.12966E-01,3.34413E-01,4.51986E-01
GRID,100331,,4.29902E-01,3.12342E-01,4.51986E-01
GRID,100332,,4.45659E-01,2.89415E-01,4.51986E-01
GRID,100333,,4.60195E-01,2.65694E-01,4.51986E-01
GRID,100334,,4.73470E-01,2.41245E-01,4.51986E-01
GRID,100335,,4.85447E-01,2.16135E-01,4.51986E-01
GRID,100336,,4.96093E-01,1.90432E-01,4.51986E-01
GRID,100337,,5.05380E-01,1.64208E-01,4.51986E-01
GRID,100338,,5.13281E-01,1.37533E-01,4.51986E-01
GRID,100339,,5.19776E-01,1.10482E-01,4.51986E-01
GRID,100340,,5.24846E-01,8.31273E-02,4.51986E-01
GRID,100341,,5.28477E-01,5.55451E-02,4.51986E-01
GRID,100342,,5.30660E-01,2.78107E-02,4.51986E-01
GRID,100343,,5.31388E-01,2.3228-8,4.51986E-01
GRID,100344,,5.30660E-01,-2.78100E-02,4.51986E-01
GRID,100345,,5.28477E-01,-5.55450E-02,4.51986E-01
GRID,100346,,5.24846E-01,-8.31270E-02,4.51986E-01
GRID,100347,,5.19776E-01,-1.10482E-01,4.51986E-01
GRID,100348,,5.13281E-01,-1.37533E-01,4.51986E-01
GRID,100349,,5.05380E-01,-1.64208E-01,4.51986E-01
GRID,100350,,4.96093E-01,-1.90432E-01,4.51986E-01
GRID,100351,,4.85447E-01,-2.16135E-01,4.51986E-01
GRID,100352,,4.73470E-01,-2.41245E-01,4.51986E-01
GRID,100353,,4.60195E-01,-2.65694E-01,4.51986E-01
GRID,100354,,4.45659E-01,-2.89414E-01,4.51986E-01
GRID,100355,,4.29902E-01,-3.12342E-01,4.51986E-01
GRID,100356,,4.12966E-01,-3.34413E-01,4.51986E-01
GRID,100357,,3.94898E-01,-3.55568E-01,4.51986E-01
GRID,100358,,3.75748E-01,-3.75748E-01,4.51986E-01
GRID,100359,,3.55568E-01,-3.94898E-01,4.51986E-01
GRID,100360,,3.34413E-01,-4.12966E-01,4.51986E-01
GRID,100361,,3.12342E-01,-4.29902E-01,4.51986E-01
GRID,100362,,2.89415E-01,-4.45659E-01,4.51986E-01
GRID,100363,,2.65694E-01,-4.60195E-01,4.51986E-01
GRID,100364,,3.75748E-01,3.75748E-01,4.51986E-01
GRID,100365,,3.55568E-01,3.94898E-01,4.51986E-01
GRID,100366,,3.34413E-01,4.12966E-01,4.51986E-01
GRID,100367,,3.12342E-01,4.29902E-01,4.51986E-01
GRID,100368,,2.89414E-01,4.45659E-01,4.51986E-01
GRID,100369,,2.65694E-01,4.60195E-01,4.51986E-01
GRID,100370,,2.41245E-01,-4.73470E-01,4.51986E-01
GRID,100371,,2.44146E-01,-4.79163E-01,4.51986E-01
GRID,100372,,2.47046E-01,-4.84855E-01,4.51986E-01
GRID,100373,,2.49947E-01,-4.90548E-01,4.51986E-01
GRID,100374,,2.52847E-01,-4.96240E-01,4.51986E-01
GRID,100375,,2.55747E-01,-5.01933E-01,4.51986E-01
GRID,100376,,2.57866E-01,-5.06091E-01,4.51986E-01
GRID,100377,,2.61548E-01,-5.13318E-01,4.51986E-01
GRID,100378,,2.64449E-01,-5.19010E-01,4.51986E-01
GRID,100379,,2.41245E-01,4.73470E-01,4.51986E-01
GRID,100380,,2.44145E-01,4.79163E-01,4.51986E-01
GRID,100381,,2.47046E-01,4.84855E-01,4.51986E-01
GRID,100382,,2.49946E-01,4.90548E-01,4.51986E-01
GRID,100383,,2.52847E-01,4.96240E-01,4.51986E-01
GRID,100384,,2.55747E-01,5.01933E-01,4.51986E-01
GRID,100385,,2.57866E-01,5.06091E-01,4.51986E-01
GRID,100386,,2.61548E-01,5.13318E-01,4.51986E-01
GRID,100387,,2.64449E-01,5.19010E-01,4.51986E-01
GRID,100388,,3.71230E-01,3.71230E-01,4.51986E-01
GRID,100389,,3.90150E-01,3.51293E-01,4.51986E-01
GRID,100390,,4.08001E-01,3.30393E-01,4.51986E-01
GRID,100391,,4.24733E-01,3.08587E-01,4.51986E-01
GRID,100392,,4.40301E-01,2.85935E-01,4.51986E-01
GRID,100393,,4.54662E-01,2.62499E-01,4.51986E-01
GRID,100394,,4.67778E-01,2.38345E-01,4.51986E-01
GRID,100395,,4.79610E-01,2.13536E-01,4.51986E-01
GRID,100396,,4.90129E-01,1.88143E-01,4.51986E-01
GRID,100397,,4.99304E-01,1.62234E-01,4.51986E-01
GRID,100398,,5.07110E-01,1.35880E-01,4.51986E-01
GRID,100399,,5.13526E-01,1.09154E-01,4.51986E-01
GRID,100400,,5.18535E-01,8.21279E-02,4.51986E-01
GRID,100401,,5.22123E-01,5.48773E-02,4.51986E-01
GRID,100402,,5.24279E-01,2.74763E-02,4.51986E-01
GRID,100403,,5.24999E-01,2.2948-8,4.51986E-01
GRID,100404,,5.24279E-01,-2.74760E-02,4.51986E-01
GRID,100405,,5.22123E-01,-5.48770E-02,4.51986E-01
GRID,100406,,5.18535E-01,-8.21270E-02,4.51986E-01
GRID,100407,,5.13526E-01,-1.09154E-01,4.51986E-01
GRID,100408,,5.07110E-01,-1.35880E-01,4.51986E-01
GRID,100409,,4.99304E-01,-1.62234E-01,4.51986E-01
GRID,100410,,4.90129E-01,-1.88143E-01,4.51986E-01
GRID,100411,,4.79610E-01,-2.13536E-01,4.51986E-01
GRID,100412,,4.67778E-01,-2.38345E-01,4.51986E-01
GRID,100413,,4.54663E-01,-2.62499E-01,4.51986E-01
GRID,100414,,4.40301E-01,-2.85935E-01,4.51986E-01
GRID,100415,,4.24733E-01,-3.08587E-01,4.51986E-01
GRID,100416,,4.08001E-01,-3.30393E-01,4.51986E-01
GRID,100417,,3.90150E-01,-3.51293E-01,4.51986E-01
GRID,100418,,3.71230E-01,-3.71230E-01,4.51986E-01
GRID,100419,,3.51293E-01,-3.90150E-01,4.51986E-01
GRID,100420,,3.30393E-01,-4.08001E-01,4.51986E-01
GRID,100421,,3.08587E-01,-4.24733E-01,4.51986E-01
GRID,100422,,2.85935E-01,-4.40301E-01,4.51986E-01
GRID,100423,,2.62499E-01,-4.54662E-01,4.51986E-01
GRID,100424,,2.38345E-01,-4.67778E-01,4.51986E-01
GRID,100425,,3.51293E-01,3.90150E-01,4.51986E-01
GRID,100426,,3.30393E-01,4.08001E-01,4.51986E-01
GRID,100427,,3.08587E-01,4.24733E-01,4.51986E-01
